Company,Series  ,Date  ,Prev Close  ,Open,High,Low,Last Price  ,Close,Average Price ,Volume,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
INFY,EQ,29-01-2024,1669.1,1665.15,1679.35,1647.6,1651.05,1656.6,1658.53,4253785,7055050164,169843,"29,36,126",69.02
INFY,EQ,30-01-2024,1656.6,1662.45,1690,1648.25,1653,1651.45,1667,4995943,8328252976,171051,"31,78,389",63.62
INFY,EQ,31-01-2024,1651.45,1648.25,1667.25,1638.1,1656.75,1660.9,1655.75,6763779,11199094788,181217,"49,12,606",72.63
INFY,EQ,01-02-2024,1660.9,1659.55,1677,1650.35,1655,1657.05,1662.81,5760011,9577804762,169224,"31,99,270",55.54
INFY,EQ,02-02-2024,1657.05,1666.05,1718.5,1665,1693.3,1693.35,1697.4,7858483,13339026487,259562,"39,21,749",49.90
INFY,EQ,05-02-2024,1693.35,1694.75,1700.75,1681.85,1683.4,1687.2,1690.95,3634135,6145132559,137014,"25,54,793",70.30
INFY,EQ,06-02-2024,1687.2,1686.75,1733,1673.95,1728,1729.45,1717.32,7694265,13213481875,250855,"51,32,644",66.71
INFY,EQ,07-02-2024,1729.45,1729,1729,1686.85,1695,1693.75,1699.46,4613877,7841102727,273680,"30,23,295",65.53
INFY,EQ,08-02-2024,1693.75,1698,1706.35,1682.8,1693,1692.1,1692.5,5919715,10019145488,237027,"33,27,271",56.21
INFY,EQ,09-02-2024,1692.1,1684.7,1692.9,1659.8,1670,1669.35,1669.56,4600004,7680000365,228352,"22,55,319",49.03
INFY,EQ,12-02-2024,1669.35,1670.35,1692.95,1670.35,1677.2,1680.1,1684.63,3555808,5990236482,172951,"23,24,220",65.36
INFY,EQ,13-02-2024,1680.1,1683,1689.1,1663.5,1681.5,1684.55,1676.31,2696481,4520135185,143586,"18,36,216",68.10
INFY,EQ,14-02-2024,1684.55,1660.2,1669.45,1635.5,1666.8,1666.2,1648.69,3768579,6213215181,162385,"20,46,752",54.31
INFY,EQ,15-02-2024,1666.2,1677,1687.75,1661.6,1680,1676.35,1673.73,4834391,8091476060,191636,"28,81,563",59.61
INFY,EQ,16-02-2024,1676.35,1689,1709,1687.95,1698.65,1701.65,1699.4,4880654,8294163221,161141,"30,29,407",62.07
INFY,EQ,19-02-2024,1701.65,1705,1711.5,1687.7,1699,1699.75,1702.16,3690993,6282664069,100191,"25,43,379",68.91
INFY,EQ,20-02-2024,1699.75,1685,1694.25,1668.75,1685.4,1685.25,1680.6,3706389,6228968392,158582,"24,12,465",65.09
INFY,EQ,21-02-2024,1685.25,1674,1674,1645.3,1652,1655.55,1659.26,4300508,7135669394,199597,"25,82,366",60.05
INFY,EQ,22-02-2024,1655.55,1665,1684.6,1644.4,1678.25,1681.35,1664.73,5841277,9724135539,201360,"23,13,481",39.61
INFY,EQ,23-02-2024,1681.35,1697,1698.45,1671.9,1675.05,1676.85,1680.38,5373072,9028806812,159253,"31,87,718",59.33
INFY,EQ,26-02-2024,1676.85,1674.95,1674.95,1645,1660,1660.15,1656.14,2782438,4608093161,138789,"16,94,781",60.91
INFY,EQ,27-02-2024,1660.15,1661,1671.1,1652.8,1664.5,1663.6,1660.89,5159088,8568654402,177632,"39,76,932",77.09
INFY,EQ,28-02-2024,1663.6,1670,1687.8,1662.05,1666,1671.25,1673.95,3188916,5338082989,168195,"17,23,575",54.05
INFY,EQ,29-02-2024,1671.25,1665,1682.25,1653.3,1674,1673.9,1669.82,7814722,13049188571,199180,"48,12,766",61.59
INFY,EQ,01-03-2024,1673.9,1669,1671.95,1651,1653.8,1654.7,1662.37,6387291,10618054259,268042,"44,21,453",69.22
INFY,EQ,02-03-2024,1654.7,1658.85,1665,1654.05,1655.2,1656.3,1659.64,292153,484868460.9,9759,"1,62,983",55.79
INFY,EQ,04-03-2024,1656.3,1657.85,1664.45,1633.65,1635.75,1637.2,1641.87,4445156,7298368190,193640,"34,02,124",76.54
INFY,EQ,05-03-2024,1637.2,1634,1637.35,1602,1604,1606.5,1610.57,4596579,7403097436,241650,"30,21,130",65.73
INFY,EQ,06-03-2024,1606.5,1602.8,1620.15,1576,1618.5,1617.55,1596.53,6420684,10250800225,243568,"39,22,499",61.09
INFY,EQ,07-03-2024,1617.55,1616.6,1628.45,1604.2,1612,1616.45,1616.64,6348359,10263036189,244687,"40,08,257",63.14
INFY,EQ,11-03-2024,1616.45,1608.15,1613.8,1588,1600,1600.6,1600.8,6752895,10810022837,243001,"45,92,019",68.00
INFY,EQ,12-03-2024,1600.6,1600,1625,1597.65,1614.1,1612.95,1616.23,4614222,7457666086,207553,"28,74,045",62.29
INFY,EQ,13-03-2024,1612.95,1612.9,1624.5,1598.55,1613,1611.4,1611.41,5688997,9167281917,195986,"37,41,349",65.76
INFY,EQ,14-03-2024,1611.4,1614.4,1657.75,1608,1649.95,1653.3,1643.02,8803799,14464850155,224912,"52,79,254",59.97
